osm_id,population,source,place,is_in,name,name_ps,longitude,latitude,geom_type
2103120,N/A,N/A,N/A,N/A,Brunei,برونای,114.1907437,5.274546,relation
2108121,N/A,N/A,N/A,N/A,Malaysia,N/A,109.1032371,4.6169837,relation
2171347,660809,N/A,N/A,N/A,Lëtzebuerg,لوګزامبورګ,6.1334744,49.8153157,relation
2177161,N/A,N/A,N/A,N/A,Anguilla,N/A,-63.175872,18.4283324,relation
2177246,234023,N/A,N/A,N/A,Vanuatu,N/A,168.3927537,-16.6670601,relation
2177266,10000,N/A,N/A,N/A,Tuvalu,تووالو,-2.036275,-8.21545,relation
2184073,57564,N/A,N/A,N/A,Kalaallit Nunaat,N/A,-42.0769588,71.6952795,relation
2184233,18600,N/A,N/A,N/A,Kūki ʻĀirani,N/A,-161.6204085,-15.4374891,relation
2185366,49035,N/A,N/A,N/A,Cayman Islands,N/A,-80.5712351,19.5097189,relation
2185374,N/A,N/A,N/A,N/A,Falkland Islands,N/A,-59.569457,-51.9579887,relation
2185375,N/A,N/A,archipelago,N/A,Pitcairn Islands,N/A,-127.7632508,-24.4935933,relation
2186600,1411,N/A,N/A,N/A,Tokelau,N/A,-171.8507247,-8.9882954,relation
2186665,N/A,N/A,N/A,N/A,Tonga,N/A,-176.4622838,-19.7645579,relation
2202162,67852556,N/A,N/A,N/A,France,فرانسه,-0.0005052,0.5434276,relation
2323309,N/A,N/A,N/A,N/A,Nederland,هالنډ,-31.5210445,32.7606975,relation
2361304,N/A,N/A,N/A,N/A,Tchad تشاد,چاډ,18.73674,15.4459328,relation
2528142,N/A,"combination of data from 1991 census & data after the war, for complete image",N/A,N/A,Bosna i Hercegovina / Босна и Херцеговина,بوسنيا او هېرزګوينا,17.6762372,43.9158624,relation
2620918,N/A,N/A,N/A,N/A,Nederland — Belgique / België / Belgien,N/A,4.2794897,51.3128219,relation
2978650,5562363,N/A,N/A,N/A,Norge,ناروې,12.5021417,13.1870088,relation
3263728,N/A,N/A,N/A,N/A,Akrotiri and Dhekelia,N/A,33.349513,34.8182526,relation
3630439,36828330,N/A,N/A,N/A,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,مراکش,-9.1216321,28.6678006,relation
5389302,N/A,N/A,N/A,N/A,France - Italy (section nord),N/A,6.9427496,45.8739775,relation
5441968,N/A,N/A,N/A,N/A,República Árabe Saharaui Democrática الجمهورية العربية الصحراوية الديمقراطية,N/A,-12.9927065,24.1688389,relation
16100722,N/A,N/A,N/A,N/A,France / Suriname border,N/A,-54.2326293,4.158087,relation
17893356,N/A,N/A,N/A,N/A,Unknown,N/A,-58.126745,-33.0277167,relation
17893357,N/A,N/A,islet,N/A,Isla Tres Cruces,N/A,-58.129511,-33.0315805,relation
17893358,N/A,N/A,island,N/A,Isla Bassi,N/A,-58.1185823,-33.0095386,relation
17893359,N/A,N/A,island,N/A,Isla Filomena Grande,N/A,-58.1012996,-32.9879732,relation
17894046,N/A,N/A,islet,N/A,Isla Verde,N/A,-58.1980884,-27.2630639,relation
